episode,job_count,machine_count,selection_count,best_source,candidate_count,loss,score_json,hard_violation_count,makespan,bay_internal_cut_length_gap,bay_internal_wo_count_gap,bay_internal_bevel_quantity_gap,bay_internal_occupancy_gap,raw_hard_violation_count,raw_makespan,raw_bay_internal_cut_length_gap,raw_bay_internal_wo_count_gap,raw_bay_internal_bevel_quantity_gap,raw_bay_internal_occupancy_gap,normalized_bay_internal_cut_length_gap,normalized_bay_internal_wo_count_gap,normalized_bay_internal_bevel_quantity_gap,normalized_bay_internal_occupancy_gap
14499,173,15,173,22:agent_sample_57|23:best_fit_lth|24:agent_greedy|25:lpt_batch|trans:lpt_batch,340,1.148041147,"[0, 280.547318, 669.443585051, 16.0, 31.0, 83.899311]",0,280.547318,669.443585051,16.0,31.0,83.899311,0,280.547318,669.443585051,16.0,31.0,83.899311,1.534467864,2.382002801,7.708699903,1.177655922
14500,126,15,126,22:agent_sample_18|23:agent_sample_11|24:agent_sample_39|25:lpt_batch|trans:agent_sample_13,340,0.478390515,"[0, 203.035377, 362.971254198, 2.0, 30.0, 77.119252]",0,203.035377,362.971254198,2.0,30.0,77.119252,0,203.035377,362.971254198,2.0,30.0,77.119252,1.333158164,0.763636364,7.178711485,1.565691372
14501,197,15,197,22:lpt_batch|23:agent_sample_55|24:agent_sample_45|25:agent_sample_38|trans:lpt_batch,340,0.366522771,"[0, 235.808407, 523.635762267, 16.0, 37.0, 43.809081]",0,235.808407,523.635762267,16.0,37.0,43.809081,0,235.808407,523.635762267,16.0,37.0,43.809081,0.77383961,1.568435375,4.355201172,0.299974314
14502,111,15,111,22:agent_sample_45|23:agent_greedy|24:agent_sample_13|25:agent_sample_44|trans:agent_sample_17,340,0.295349097,"[0, 150.288125, 376.605249251, 12.0, 33.0, 127.354664]",0,150.288125,376.605249251,12.0,33.0,127.354664,0,150.288125,376.605249251,12.0,33.0,127.354664,1.418090316,1.674465241,10.558823529,2.148908623
14503,131,15,131,22:agent_sample_38|23:agent_sample_13|24:agent_sample_19|25:agent_sample_16|trans:agent_greedy,340,0.357456949,"[0, 204.986161, 336.006509581, 10.0, 26.0, 64.422084]",0,204.986161,336.006509581,10.0,26.0,64.422084,0,204.986161,336.006509581,10.0,26.0,64.422084,1.020716402,1.862224731,8.854894812,1.110241121
14504,92,15,92,22:agent_sample_28|23:agent_sample_2|24:long_bevel_batch|25:agent_greedy|trans:agent_sample_12,340,1.061968204,"[0, 166.610067, 350.325079514, 4.0, 11.0, 113.837011]",0,166.610067,350.325079514,4.0,11.0,113.837011,0,166.610067,350.325079514,4.0,11.0,113.837011,2.605650121,1.28907563,4.958730158,2.360070775
14505,178,15,178,22:agent_sample_10|23:agent_sample_47|24:agent_sample_34|25:agent_sample_27|trans:agent_sample_60,340,0.372713423,"[0, 214.752843, 350.841258081, 17.0, 25.0, 38.846909]",0,214.752843,350.841258081,17.0,25.0,38.846909,0,214.752843,350.841258081,17.0,25.0,38.846909,0.810971286,1.911932774,4.400359874,0.312735109
14506,109,15,109,22:agent_sample_34|23:agent_sample_29|24:long_cut_batch|25:agent_sample_38|trans:agent_sample_28,340,1.425216019,"[0, 105.034744, 220.583973104, 13.0, 34.0, 47.716034]",0,105.034744,220.583973104,13.0,34.0,47.716034,0,105.034744,220.583973104,13.0,34.0,47.716034,0.774675207,2.168478261,6.355555556,0.621266115
14507,193,15,193,22:agent_sample_29|23:agent_greedy|24:agent_sample_9|25:lpt_batch|trans:agent_sample_44,340,0.443872648,"[0, 315.482492, 272.640367333, 19.0, 41.0, 47.280614]",0,315.482492,272.640367333,19.0,41.0,47.280614,0,315.482492,272.640367333,19.0,41.0,47.280614,0.767521049,3.031932772,7.651644857,0.414130196
14508,115,15,115,22:agent_sample_20|23:best_fit_lth|24:best_fit_lth|25:lpt_batch|trans:lpt_batch,340,1.317204034,"[0, 210.607598, 367.471077477, 5.0, 23.0, 122.238729]",0,210.607598,367.471077477,5.0,23.0,122.238729,0,210.607598,367.471077477,5.0,23.0,122.238729,2.313483921,1.129509713,10.030769231,2.667008774
14509,101,15,101,22:agent_sample_30|23:agent_sample_38|24:agent_sample_28|25:agent_greedy|trans:agent_greedy,340,0.438699144,"[0, 135.138329, 202.150581039, 10.0, 24.0, 77.474665]",0,135.138329,202.150581039,10.0,24.0,77.474665,0,135.138329,202.150581039,10.0,24.0,77.474665,0.572381978,2.189267932,5.771428571,0.942648307
14510,90,15,90,22:agent_greedy|23:agent_greedy|24:long_bevel_batch|25:agent_sample_47|trans:agent_sample_11,340,0.41402898,"[0, 147.889217, 228.041348972, 3.0, 26.0, 55.701729]",0,147.889217,228.041348972,3.0,26.0,55.701729,0,147.889217,228.041348972,3.0,26.0,55.701729,1.676067093,1.892857142,10.6,1.166059092
14511,220,15,220,22:lpt_batch|23:lpt_batch|24:agent_sample_50|25:lpt_batch|trans:lpt_batch,340,0.706657314,"[0, 310.331167, 322.078790324, 14.0, 33.0, 72.204114]",0,310.331167,322.078790324,14.0,33.0,72.204114,0,310.331167,322.078790324,14.0,33.0,72.204114,0.540290468,1.476965082,5.252014653,0.608089081
14512,108,15,108,22:agent_sample_21|23:agent_sample_19|24:agent_sample_10|25:agent_greedy|trans:agent_sample_42,340,0.539818245,"[0, 204.969178, 115.594409976, 3.0, 19.0, 74.963319]",0,204.969178,115.594409976,3.0,19.0,74.963319,0,204.969178,115.594409976,3.0,19.0,74.963319,0.374324807,0.480263158,9.974358975,1.282965577
14513,172,15,172,22:agent_sample_48|23:agent_sample_63|24:agent_sample_64|25:agent_sample_40|trans:lpt_batch,340,0.500477356,"[0, 236.794789, 168.534938485, 12.0, 34.0, 38.327481]",0,236.794789,168.534938485,12.0,34.0,38.327481,0,236.794789,168.534938485,12.0,34.0,38.327481,0.513662198,2.318108831,6.517870024,0.563283475
14514,185,15,185,22:lpt_batch|23:lpt_batch|24:lpt_batch|25:agent_sample_17|trans:agent_sample_63,340,0.529549396,"[0, 235.33735, 724.778634401, 16.0, 30.0, 48.374025]",0,235.33735,724.778634401,16.0,30.0,48.374025,0,235.33735,724.778634401,16.0,30.0,48.374025,1.47068371,1.56017316,4.076392481,0.362550238
14515,102,15,102,22:agent_sample_38|23:long_bevel_batch|24:agent_greedy|25:agent_sample_23|trans:agent_sample_10,340,0.528156394,"[0, 139.339394, 197.381847346, 10.0, 32.0, 87.749651]",0,139.339394,197.381847346,10.0,32.0,87.749651,0,139.339394,197.381847346,10.0,32.0,87.749651,1.043330881,1.626262626,5.799498746,1.352543232
14516,156,15,156,22:agent_sample_14|23:agent_sample_62|24:lpt_batch|25:agent_sample_44|trans:agent_sample_12,340,0.487864751,"[0, 219.178076, 298.972230325, 13.0, 31.0, 34.614204]",0,219.178076,298.972230325,13.0,31.0,34.614204,0,219.178076,298.972230325,13.0,31.0,34.614204,0.83777839,2.059861191,3.451683219,0.434184337
14517,186,15,186,22:agent_sample_43|23:lpt_batch|24:lpt_batch|25:agent_sample_17|trans:agent_sample_15,340,0.343772826,"[0, 195.607359, 408.332883265, 13.0, 22.0, 49.145178]",0,195.607359,408.332883265,13.0,22.0,49.145178,0,195.607359,408.332883265,13.0,22.0,49.145178,0.733674574,1.110901551,2.440775681,0.417826789
14518,188,15,188,22:agent_sample_38|23:lpt_batch|24:agent_sample_41|25:agent_sample_3|trans:agent_sample_43,340,0.440321761,"[0, 276.105884, 633.459440579, 12.0, 19.0, 66.790752]",0,276.105884,633.459440579,12.0,19.0,66.790752,0,276.105884,633.459440579,12.0,19.0,66.790752,1.097476415,1.425117774,1.997535242,0.72671794
14519,78,15,78,22:agent_sample_12|23:agent_sample_33|24:agent_sample_35|25:lpt_batch|trans:agent_sample_38,340,0.464832616,"[0, 108.857936, 375.2305711, 7.0, 21.0, 75.428405]",0,108.857936,375.2305711,7.0,21.0,75.428405,0,108.857936,375.2305711,7.0,21.0,75.428405,2.797013621,1.440203275,4.880952381,1.770574459
14520,139,15,139,22:agent_sample_41|23:agent_sample_21|24:agent_sample_19|25:agent_sample_38|trans:agent_sample_15,340,0.363881275,"[0, 150.306004, 279.955276605, 14.0, 41.0, 55.788641]",0,150.306004,279.955276605,14.0,41.0,55.788641,0,150.306004,279.955276605,14.0,41.0,55.788641,0.631556542,1.907692308,4.489288489,0.561356262
14521,83,15,83,22:agent_sample_12|23:agent_sample_10|24:agent_sample_43|25:agent_greedy|trans:agent_sample_27,340,0.358073694,"[0, 167.157164, 206.494356844, 5.0, 17.0, 67.650957]",0,167.157164,206.494356844,5.0,17.0,67.650957,0,167.157164,206.494356844,5.0,17.0,67.650957,1.316878471,1.744905273,7.533333333,1.515467928
14522,177,15,177,22:agent_sample_19|23:lpt_batch|24:agent_sample_30|25:agent_sample_17|trans:agent_sample_10,340,0.327512115,"[0, 194.442281, 471.413742223, 10.0, 31.0, 37.329539]",0,194.442281,471.413742223,10.0,31.0,37.329539,0,194.442281,471.413742223,10.0,31.0,37.329539,1.063194397,1.283180859,4.94757085,0.358041028
14523,188,15,188,22:agent_sample_16|23:agent_sample_49|24:agent_sample_10|25:agent_sample_12|trans:agent_sample_46,340,0.412601709,"[0, 269.170691, 395.467514262, 14.0, 27.0, 43.688982]",0,269.170691,395.467514262,14.0,27.0,43.688982,0,269.170691,395.467514262,14.0,27.0,43.688982,1.150010909,2.086882808,7.172592114,0.391143864
14524,177,15,177,22:agent_greedy|23:agent_sample_2|24:agent_sample_41|25:agent_sample_57|trans:agent_sample_51,340,0.325361967,"[0, 289.235551, 424.336947306, 8.0, 37.0, 48.926308]",0,289.235551,424.336947306,8.0,37.0,48.926308,0,289.235551,424.336947306,8.0,37.0,48.926308,0.968524058,1.156363636,6.99083779,0.504649749
14525,73,15,73,22:agent_sample_18|23:agent_greedy|24:agent_sample_53|25:agent_sample_12|trans:agent_sample_27,340,0.424055707,"[0, 93.159646, 140.910921873, 6.0, 29.0, 59.441291]",0,93.159646,140.910921873,6.0,29.0,59.441291,0,93.159646,140.910921873,6.0,29.0,59.441291,0.612525555,1.48907563,8.850420168,0.835295473
14526,87,15,87,22:best_fit_lth|23:agent_greedy|24:agent_greedy|25:agent_sample_13|trans:agent_sample_22,340,0.793881607,"[0, 132.258236, 468.339248946, 4.0, 25.0, 155.353008]",0,132.258236,468.339248946,4.0,25.0,155.353008,0,132.258236,468.339248946,4.0,25.0,155.353008,2.804471092,0.957603687,11.324786325,3.395772301
